,T2M,RH2M,WS2M,WD2M,ALLSKY_KT,GWETTOP,EVLAND,PRECIPITATIONCAL
20160121,23.67,34.25,2.91,182.69,0.56,0.2,2.48,0.0
20160122,22.65,24.38,2.35,92.81,0.64,0.2,1.76,0.0
20160123,21.94,25.19,1.58,89.12,0.65,0.19,1.25,0.0
20160124,22.89,35.56,1.08,144.38,0.65,0.19,0.84,0.0
20160125,23.94,59.44,1.65,148.25,0.56,0.18,0.37,0.0
20160126,24.84,61.31,1.78,161.44,0.51,0.18,0.33,0.0
20160127,26.11,58.62,2.05,183.44,0.5,0.18,0.38,0.0
20160128,26.08,51.69,0.84,175.69,0.61,0.18,0.77,0.0
20160129,25.62,41.31,1.31,99.75,0.66,0.17,0.9,0.0
20160130,25.66,41.25,1.34,62.25,0.66,0.17,0.68,0.0
20160131,27.1,23.06,1.17,55.94,0.69,0.16,1.12,0.0
20160201,26.72,37.31,1.06,107.0,0.66,0.16,0.86,0.0
20160202,27.22,39.62,1.09,168.38,0.62,0.16,0.64,0.0
20160203,26.76,44.12,1.07,152.25,0.63,0.16,0.65,0.0
20160204,26.42,32.69,1.08,75.0,0.66,0.16,0.69,0.0
20160205,26.41,54.94,1.79,155.69,0.57,0.16,0.33,0.0
20160206,26.62,57.81,2.76,158.5,0.61,0.16,0.27,0.0
20160207,27.23,57.81,2.26,162.94,0.54,0.16,0.2,0.0
20160208,27.62,56.94,1.76,142.94,0.48,0.15,0.2,0.0
20160209,28.39,51.06,1.69,173.06,0.56,0.15,0.29,0.0
20160210,27.93,53.5,2.52,172.06,0.55,0.15,0.29,0.0
20160211,28.33,51.94,2.97,189.06,0.52,0.15,0.26,0.0
20160212,28.49,52.81,3.07,174.06,0.53,0.15,0.2,0.0
20160213,28.64,52.25,3.15,172.38,0.55,0.15,0.24,0.0
20160214,28.01,53.56,2.72,162.31,0.59,0.15,0.22,0.0
20160215,27.32,52.81,2.98,159.69,0.67,0.15,0.33,0.0
20160216,26.59,52.38,3.09,153.69,0.68,0.15,0.31,0.0
20160217,26.4,45.38,3.04,143.19,0.69,0.14,0.36,0.0
20160218,26.87,45.81,2.31,157.69,0.68,0.14,0.47,0.0
20160219,26.98,42.06,1.91,169.25,0.66,0.14,0.49,0.0
20160220,27.83,43.06,1.32,182.81,0.65,0.14,0.54,0.02
20160221,28.86,47.0,2.23,192.12,0.57,0.14,0.44,0.0
20160222,29.8,48.69,2.69,181.06,0.6,0.13,0.38,0.0
20160223,29.79,49.81,3.61,180.19,0.6,0.13,0.29,0.0
20160224,28.83,50.31,3.32,173.31,0.59,0.13,0.25,0.0
20160225,28.59,55.88,3.78,164.31,0.57,0.13,0.14,0.0
20160226,29.05,56.44,3.79,160.44,0.52,0.13,0.1,0.0
20160227,28.73,50.94,2.92,167.44,0.58,0.13,0.2,0.0
20160228,28.64,55.75,2.7,157.38,0.58,0.13,0.06,0.0
20160229,28.62,57.88,2.33,150.12,0.56,0.2,3.62,1.85
20160301,28.63,56.75,1.3,194.25,0.53,0.28,4.79,0.01
20160302,28.9,53.31,1.85,145.31,0.52,0.27,3.31,0.03
20160303,29.51,50.56,1.8,142.5,0.49,0.26,3.59,0.0
20160304,29.23,46.69,1.55,132.75,0.52,0.24,3.03,0.04
20160305,29.33,44.19,2.19,165.75,0.59,0.23,2.78,0.0
20160306,29.83,44.19,2.56,163.19,0.66,0.23,2.85,0.0
20160307,28.81,47.12,3.3,164.75,0.68,0.21,2.45,0.0
20160308,28.55,46.44,3.05,173.19,0.7,0.2,2.13,0.0
20160309,28.41,45.94,2.92,169.25,0.61,0.2,1.32,0.0
20160310,29.98,44.06,2.22,158.06,0.61,0.2,1.71,0.0
20160311,30.29,47.38,1.99,154.19,0.58,0.19,1.42,0.0
20160312,30.0,44.38,3.27,164.44,0.58,0.18,0.97,0.0
20160313,29.9,57.12,3.62,171.62,0.65,0.18,0.85,1.06
20160314,30.44,53.88,4.02,166.94,0.5,0.18,0.71,0.0
20160315,30.37,54.5,3.48,163.81,0.57,0.17,1.34,0.0
20160316,30.65,52.88,2.82,166.5,0.55,0.18,1.36,0.0
20160317,31.4,50.44,3.48,173.19,0.62,0.17,0.87,0.0
20160318,31.73,45.56,3.09,176.62,0.65,0.17,1.09,0.0
20160319,32.58,39.12,1.84,205.0,0.59,0.16,1.15,0.0
20160320,33.22,30.62,1.05,204.62,0.64,0.16,1.44,0.0
20160321,33.12,23.69,1.73,306.56,0.64,0.16,1.47,0.0
20160322,32.15,16.31,1.18,161.06,0.66,0.15,1.58,0.0
20160323,32.16,34.88,1.53,117.38,0.6,0.15,0.88,0.0
20160324,32.29,47.75,2.28,139.38,0.55,0.14,0.59,0.0
20160325,31.44,49.44,3.09,160.19,0.59,0.14,0.4,0.0
20160326,31.43,48.0,2.54,166.44,0.62,0.14,0.44,0.0
20160327,31.12,49.62,3.24,173.25,0.59,0.14,0.39,0.0
20160328,30.35,51.38,3.3,150.62,0.6,0.14,0.38,0.0
20160329,30.92,49.56,2.85,177.44,0.61,0.14,0.41,0.0
20160330,31.98,50.56,3.73,175.69,0.58,0.13,0.38,0.0
20160331,32.05,47.0,3.12,180.56,0.62,0.13,0.66,0.0
20160401,32.23,46.38,2.66,180.0,0.67,0.13,0.42,0.0
20160402,32.58,44.56,2.76,181.88,0.66,0.13,0.46,0.0
20160403,32.75,45.19,2.97,175.81,0.65,0.13,0.42,0.0
20160404,33.32,42.31,3.37,182.75,0.63,0.13,0.52,0.0
20160405,32.69,40.69,2.09,180.81,0.63,0.12,0.44,0.0
20160406,31.9,39.62,2.21,179.12,0.67,0.12,0.49,0.0
20160407,32.39,37.38,2.39,173.62,0.68,0.12,0.52,0.0
20160408,32.15,46.44,3.41,162.31,0.69,0.12,0.35,0.0
20160409,32.06,44.75,3.7,168.56,0.7,0.12,0.36,0.0
20160410,31.82,44.44,3.31,176.38,0.69,0.12,0.36,0.0
20160411,32.79,39.0,2.62,186.12,0.68,0.12,0.47,0.0
20160412,33.77,34.94,2.73,190.69,0.66,0.12,0.46,0.0
20160413,34.8,41.81,2.37,196.69,0.64,0.12,0.37,0.0
20160414,35.18,43.25,2.98,176.0,0.61,0.12,0.27,0.0
20160415,34.93,44.38,3.37,176.38,0.68,0.12,0.29,0.0
20160416,34.31,45.12,3.62,182.69,0.67,0.11,0.27,0.0
20160417,34.83,46.12,3.95,183.88,0.66,0.12,0.46,0.01
20160418,33.53,45.44,3.53,174.44,0.65,0.12,0.45,0.0
20160419,33.13,46.62,3.68,168.44,0.69,0.12,0.29,0.0
20160420,33.66,44.06,3.13,177.62,0.68,0.12,0.29,0.0
20160421,34.83,43.44,3.1,186.69,0.64,0.11,0.25,0.03
20160422,36.13,39.81,2.92,228.81,0.59,0.11,0.29,0.05
20160423,36.76,23.94,2.37,280.56,0.67,0.11,0.48,0.0
20160424,36.48,24.94,1.3,219.5,0.69,0.11,0.48,0.0
20160425,35.77,44.88,4.0,169.81,0.64,0.11,0.19,0.0
20160426,35.01,46.12,4.62,171.94,0.66,0.11,0.41,0.0
20160427,34.32,43.06,3.18,181.0,0.68,0.12,0.74,0.07
20160428,34.48,37.88,2.53,192.94,0.69,0.12,0.37,0.0
20160429,34.68,38.19,2.16,187.12,0.66,0.12,0.38,0.0
20160430,35.03,39.94,3.17,178.38,0.67,0.12,0.51,0.0
20160501,35.23,37.62,3.42,178.19,0.66,0.12,0.61,0.0
20160502,35.93,36.75,3.55,186.81,0.66,0.12,1.04,0.0
20160503,34.92,39.56,4.11,173.81,0.61,0.13,0.96,4.61
20160504,34.82,39.06,3.17,183.31,0.66,0.2,4.84,5.55
20160505,32.77,46.56,2.3,199.69,0.62,0.35,21.63,9.25
20160506,30.24,63.19,1.57,180.62,0.4,0.56,48.63,20.29
20160507,31.77,54.0,1.14,194.12,0.69,0.45,30.68,0.0
20160508,31.66,54.5,2.23,193.0,0.57,0.43,25.04,0.12
20160509,32.48,53.25,2.11,161.44,0.58,0.41,26.19,2.78
20160510,31.61,57.38,1.34,228.81,0.68,0.5,44.29,0.0
20160511,32.87,51.38,1.82,191.38,0.63,0.42,29.01,0.0
20160512,33.67,49.25,2.52,179.69,0.62,0.39,24.18,0.0
20160513,34.3,47.75,2.7,173.88,0.63,0.36,20.25,0.0
20160514,34.36,49.19,3.17,171.44,0.62,0.34,16.23,0.0
20160515,32.88,52.5,3.64,172.44,0.52,0.41,28.74,0.0
20160516,33.39,51.62,3.63,164.62,0.59,0.37,17.88,0.01
20160517,31.61,59.12,3.21,148.69,0.55,0.34,7.16,0.18
20160518,30.37,60.25,2.22,86.25,0.3,0.38,13.44,6.48
20160519,30.56,60.88,3.36,52.69,0.14,0.45,22.94,11.95
20160520,34.37,50.44,2.97,248.06,0.41,0.41,25.51,0.09
20160521,36.31,35.69,4.05,275.06,0.61,0.36,22.43,0.0
20160522,36.84,29.69,3.56,294.31,0.66,0.32,17.12,0.0
20160523,36.82,27.75,4.56,298.31,0.69,0.29,11.97,0.0
20160524,37.99,28.44,3.43,303.25,0.66,0.26,9.69,0.0
20160525,37.79,25.31,4.33,305.56,0.62,0.26,9.44,0.0
20160526,37.01,29.56,3.5,303.31,0.65,0.26,9.13,0.0
20160527,37.33,31.94,3.3,294.69,0.62,0.27,11.89,0.29
20160528,36.92,34.56,3.44,276.31,0.52,0.28,10.41,2.41
20160529,33.81,50.94,3.03,249.75,0.59,0.43,38.34,1.47
20160530,32.09,54.94,3.3,276.81,0.58,0.46,31.73,1.35
20160531,34.33,48.94,3.12,233.0,0.6,0.42,28.99,0.0
20160601,34.44,46.94,2.87,193.69,0.59,0.4,23.14,0.5
20160602,30.53,65.06,3.31,185.56,0.44,0.46,20.7,0.38
20160603,30.44,64.88,3.38,189.06,0.4,0.46,21.21,1.85
20160604,28.52,77.0,2.81,204.69,0.2,0.53,20.17,0.58
20160605,28.48,75.19,1.62,240.12,0.41,0.51,21.53,3.11
20160606,28.01,78.69,1.52,215.31,0.34,0.57,22.97,14.97
20160607,27.59,83.5,1.52,175.06,0.43,0.7,31.49,11.3
20160608,27.7,79.75,2.33,239.38,0.39,0.66,31.62,1.22
20160609,28.84,65.94,2.01,239.19,0.48,0.53,31.03,1.24
20160610,30.51,59.5,3.09,206.12,0.6,0.49,38.49,0.0
20160611,31.06,62.56,2.82,250.81,0.55,0.48,29.45,1.2
20160612,31.49,58.19,3.31,285.69,0.58,0.48,31.68,0.0
20160613,28.98,69.56,3.54,273.88,0.56,0.55,26.41,3.21
20160614,31.45,60.69,3.11,285.06,0.52,0.52,36.52,0.0
20160615,32.61,52.25,4.4,277.12,0.61,0.47,37.15,0.0
20160616,32.11,54.19,3.54,282.06,0.62,0.46,28.1,0.0
20160617,30.77,59.62,2.59,222.06,0.38,0.48,26.31,16.52
20160618,27.6,73.69,2.45,274.88,0.21,0.55,25.54,6.78
20160619,29.08,70.25,2.46,199.38,0.37,0.5,29.82,0.02
20160620,28.63,74.44,3.12,169.56,0.36,0.51,25.38,0.51
20160621,29.03,70.38,2.8,181.69,0.56,0.48,26.55,0.01
20160622,29.61,67.69,1.84,157.81,0.61,0.48,24.51,0.02
20160623,30.29,67.69,1.9,212.38,0.6,0.52,36.9,31.01
20160624,29.47,70.0,2.61,295.0,0.56,0.57,35.4,0.0
20160625,28.09,79.0,2.65,284.69,0.52,0.7,50.33,53.77
20160626,27.14,78.5,2.44,269.12,0.3,0.67,33.17,0.7
20160627,26.75,81.88,2.41,276.19,0.16,0.7,31.62,12.59
20160628,25.82,87.31,3.92,267.5,0.21,0.8,36.99,15.61
20160629,26.67,86.94,2.95,260.94,0.08,0.82,50.5,104.62
20160630,26.75,84.56,4.59,271.62,0.21,0.8,49.85,1.01
20160701,26.94,82.12,3.66,275.44,0.25,0.74,40.77,0.45
20160702,28.32,78.94,3.0,262.44,0.38,0.7,49.4,5.22
20160703,28.45,77.06,3.31,253.38,0.34,0.7,49.49,1.14
20160704,28.73,74.56,3.48,246.81,0.48,0.7,60.38,9.91
20160705,27.94,79.88,3.66,250.69,0.42,0.75,53.84,3.64
20160706,28.41,75.56,3.6,266.75,0.48,0.69,58.79,0.0
20160707,27.48,78.38,3.77,269.44,0.42,0.68,47.59,0.02
20160708,27.55,75.38,4.49,266.06,0.21,0.67,52.43,24.42
20160709,25.83,82.0,4.73,261.19,0.22,0.71,34.42,10.38
20160710,25.78,82.25,5.09,267.5,0.14,0.76,36.78,10.5
20160711,27.11,77.44,4.85,267.88,0.27,0.71,57.72,0.58
20160712,28.34,76.81,3.09,267.56,0.41,0.69,60.68,0.69
20160713,28.91,73.31,2.8,265.06,0.57,0.66,56.58,0.0
20160714,28.52,73.81,2.41,278.44,0.58,0.66,41.63,0.0
20160715,28.36,74.56,2.14,244.75,0.58,0.7,41.17,2.92
20160716,28.01,78.62,1.56,220.81,0.31,0.7,38.02,0.58
20160717,27.57,77.5,1.82,190.5,0.44,0.66,43.06,11.52
20160718,27.38,79.94,1.91,278.88,0.39,0.7,41.64,4.11
20160719,26.14,85.69,2.15,296.44,0.26,0.77,36.88,7.68
20160720,26.84,81.31,2.51,300.06,0.37,0.73,46.75,1.35
20160721,26.43,85.94,2.2,294.12,0.29,0.72,29.8,6.12
20160722,26.8,83.44,2.12,271.19,0.38,0.73,42.41,7.3
20160723,26.67,82.88,1.47,262.69,0.41,0.72,37.41,7.55
20160724,27.1,80.38,1.16,235.5,0.31,0.7,40.36,0.94
20160725,27.64,79.62,1.82,191.94,0.48,0.74,57.47,4.13
20160726,26.49,86.0,2.4,162.56,0.36,0.8,46.18,0.13
20160727,26.71,84.38,2.85,162.38,0.43,0.73,49.58,0.42
20160728,27.05,82.88,1.56,180.0,0.53,0.72,48.06,0.1
20160729,26.75,86.0,1.41,208.06,0.46,0.75,34.4,8.01
20160730,26.46,86.25,1.55,258.0,0.44,0.75,30.62,3.47
20160731,25.62,89.44,2.48,261.75,0.31,0.8,25.29,9.42
20160801,25.99,87.12,3.63,254.5,0.29,0.75,37.73,2.44
20160802,25.85,83.69,4.74,262.44,0.24,0.77,43.53,16.44
20160803,25.58,85.25,3.73,259.62,0.18,0.79,39.01,15.68
20160804,26.24,84.06,3.75,254.25,0.32,0.78,45.24,8.95
20160805,27.69,78.75,3.83,261.06,0.44,0.73,70.7,0.34
20160806,27.33,80.12,3.65,253.0,0.4,0.73,50.8,0.6
20160807,27.85,78.31,2.87,263.81,0.49,0.72,63.7,0.03
20160808,27.38,78.44,2.7,269.19,0.56,0.71,51.66,0.0
20160809,27.74,76.56,3.11,264.81,0.56,0.7,64.31,0.0
20160810,28.0,76.19,2.84,276.94,0.53,0.7,63.99,0.12
20160811,27.89,77.0,2.52,283.06,0.55,0.7,55.54,0.13
20160812,27.4,79.12,2.67,297.19,0.52,0.7,50.78,0.0
20160813,27.73,80.0,2.3,287.06,0.5,0.69,52.01,0.0
20160814,26.69,81.38,3.13,287.56,0.41,0.68,36.47,0.01
20160815,26.87,78.56,3.41,297.62,0.47,0.67,44.99,0.0
20160816,27.43,74.94,3.89,297.0,0.38,0.66,66.79,0.0
20160817,26.63,77.31,3.84,309.12,0.53,0.66,47.76,0.06
20160818,27.52,75.12,2.99,305.75,0.55,0.65,62.19,0.0
20160819,28.08,72.81,2.65,297.69,0.59,0.63,64.5,0.0
20160820,28.43,68.94,2.01,248.56,0.57,0.62,59.69,0.0
20160821,28.75,70.88,1.65,228.44,0.59,0.62,55.26,0.18
20160822,27.8,75.44,1.38,251.12,0.43,0.62,34.42,0.02
20160823,28.47,73.31,1.91,221.5,0.56,0.62,56.61,28.72
20160824,28.78,75.19,1.24,221.5,0.5,0.62,48.41,2.81
20160825,28.13,80.5,1.29,295.0,0.24,0.66,40.22,3.14
20160826,27.08,83.19,1.85,293.19,0.53,0.7,38.23,3.05
20160827,27.23,82.0,1.5,239.5,0.47,0.75,53.53,8.14
20160828,28.27,77.31,0.62,233.44,0.53,0.73,55.36,11.65
20160829,27.6,82.75,1.11,291.88,0.55,0.69,34.89,8.01
20160830,27.34,86.62,1.22,237.75,0.38,0.74,28.39,20.67
20160831,26.68,88.56,1.22,183.44,0.35,0.77,33.65,1.46
20160901,26.12,87.81,1.94,256.12,0.35,0.75,37.89,18.14
20160902,26.15,86.5,2.02,265.06,0.41,0.78,46.0,4.75
20160903,24.42,90.12,2.55,271.5,0.3,0.8,29.17,11.77
20160904,25.43,88.19,1.87,283.5,0.34,0.79,35.94,4.0
20160905,25.48,82.06,2.56,313.44,0.52,0.73,57.03,0.0
20160906,25.39,78.12,2.83,313.44,0.55,0.71,68.03,0.0
20160907,25.13,78.62,2.59,318.5,0.62,0.7,63.93,0.0
20160908,25.81,79.0,2.19,325.75,0.61,0.69,65.98,0.0
20160909,26.36,81.0,2.45,319.25,0.3,0.69,58.69,2.23
20160910,25.53,89.0,3.07,302.56,0.28,0.8,40.21,12.06
20160911,25.82,88.44,2.74,315.75,0.27,0.75,38.8,1.18
20160912,25.15,90.0,3.46,310.06,0.25,0.75,33.44,10.41
20160913,24.87,91.06,2.41,250.25,0.29,0.76,26.26,7.23
20160914,25.89,87.88,1.06,150.5,0.34,0.79,40.68,23.29
20160915,26.58,85.62,0.96,160.5,0.46,0.76,55.75,0.14
20160916,26.47,87.19,2.05,155.81,0.48,0.74,61.45,0.01
20160917,27.15,82.88,1.98,239.81,0.45,0.72,60.94,0.12
20160918,26.21,81.94,2.41,255.31,0.48,0.72,47.66,0.0
20160919,26.62,82.25,2.12,278.25,0.48,0.71,57.69,0.13
20160920,26.55,84.31,1.3,255.94,0.34,0.74,49.39,24.85
20160921,26.73,88.12,2.27,229.0,0.32,0.8,46.7,6.45
20160922,26.71,89.75,3.34,129.56,0.3,0.84,51.59,9.96
20160923,26.72,88.62,2.62,308.0,0.3,0.86,54.02,11.84
20160924,26.85,88.25,1.88,251.06,0.32,0.83,47.83,1.8
20160925,26.82,88.94,1.64,274.38,0.28,0.82,48.58,33.98
20160926,26.39,89.94,1.67,270.0,0.35,0.8,36.05,14.43
20160927,26.79,88.56,1.62,288.44,0.27,0.79,45.97,17.12
20160928,26.48,86.38,1.7,314.19,0.41,0.79,45.11,0.18
20160929,26.9,83.81,1.63,298.0,0.45,0.77,52.39,1.86
20160930,25.69,89.31,2.09,290.12,0.4,0.8,34.73,18.8
20161001,25.91,88.62,2.56,215.19,0.33,0.81,50.9,9.4
20161002,25.98,85.31,2.16,196.25,0.5,0.77,61.42,0.01
20161003,25.97,85.88,1.77,189.56,0.55,0.77,60.81,0.4
20161004,26.44,83.56,1.44,233.62,0.55,0.76,62.05,0.0
20161005,26.4,83.69,1.95,288.25,0.56,0.75,58.33,0.28
20161006,26.31,84.38,2.55,306.25,0.35,0.74,59.32,0.71
20161007,25.34,89.0,1.84,303.5,0.48,0.79,32.37,17.4
20161008,25.35,91.12,1.72,287.31,0.38,0.86,31.99,13.63
20161009,25.65,88.38,2.59,290.88,0.27,0.84,57.44,7.51
20161010,25.8,86.06,2.64,313.44,0.49,0.79,53.8,0.04
20161011,26.22,85.56,2.38,332.75,0.61,0.77,62.12,0.0
20161012,26.13,82.94,2.06,296.25,0.63,0.77,63.8,0.0
20161013,25.23,79.31,2.08,136.38,0.65,0.75,67.75,0.0
20161014,23.31,73.0,2.25,230.12,0.67,0.74,70.0,0.0
20161015,23.3,72.94,1.69,169.88,0.65,0.73,62.62,0.0
20161016,23.44,75.75,1.64,182.38,0.68,0.73,62.66,0.0
20161017,22.92,75.62,1.89,165.19,0.69,0.73,64.45,0.0
20161018,22.69,76.69,2.11,178.44,0.67,0.72,61.66,0.0
20161019,22.58,76.5,2.08,192.5,0.65,0.71,60.55,0.0
20161020,23.0,71.88,1.58,157.19,0.66,0.7,60.05,0.0
20161021,22.53,72.81,1.77,191.69,0.66,0.7,57.6,0.01
20161022,22.47,74.06,1.84,192.81,0.66,0.7,56.71,0.0
20161023,22.56,73.31,1.88,221.88,0.66,0.69,55.35,0.0
20161024,22.76,74.19,1.69,312.12,0.57,0.68,49.52,0.14
20161025,23.16,76.62,2.09,330.69,0.62,0.67,53.68,0.0
20161026,23.06,78.06,2.23,221.0,0.64,0.66,51.81,0.0
20161027,22.41,77.38,2.84,237.62,0.62,0.66,54.64,0.0
20161028,23.67,79.81,2.43,110.56,0.47,0.66,47.9,0.0
20161029,23.29,85.75,1.0,302.06,0.48,0.66,21.5,5.86
20161030,24.76,84.38,0.85,137.56,0.51,0.66,35.58,0.38
20161031,25.17,84.0,1.32,59.12,0.54,0.66,40.5,1.52
20161101,24.4,82.06,2.15,172.75,0.61,0.64,41.03,0.0
20161102,24.18,80.56,1.96,162.94,0.62,0.63,42.17,0.74
20161103,24.49,80.25,2.6,196.81,0.65,0.62,44.81,0.0
20161104,24.76,80.88,2.83,302.0,0.61,0.62,43.61,0.0
20161105,24.85,79.62,2.57,341.12,0.59,0.61,42.12,0.0
20161106,24.34,78.81,1.9,263.56,0.57,0.61,39.72,0.0
20161107,22.27,70.56,2.36,205.81,0.63,0.6,43.27,0.0
20161108,21.33,67.12,1.76,117.56,0.66,0.59,38.2,0.0
20161109,20.84,67.44,1.57,114.19,0.67,0.59,38.62,0.0
20161110,20.34,66.94,1.58,138.62,0.65,0.59,35.71,0.0
20161111,19.99,66.75,1.45,162.69,0.62,0.58,32.07,0.0
20161112,20.85,70.56,1.25,158.12,0.6,0.58,30.62,0.0
20161113,22.57,70.56,1.27,134.56,0.59,0.57,32.09,0.0
20161114,24.03,74.38,1.12,40.25,0.6,0.57,31.56,0.0
20161115,24.64,76.0,0.96,96.44,0.52,0.57,27.97,0.0
20161116,24.19,78.81,1.41,92.62,0.48,0.56,25.97,0.0
20161117,23.22,80.19,1.84,103.75,0.52,0.56,23.27,0.0
20161118,21.13,73.0,2.09,166.06,0.64,0.55,27.99,0.0
20161119,20.41,70.56,1.62,130.94,0.63,0.55,28.33,0.0
20161120,21.55,68.19,1.27,71.44,0.68,0.55,29.33,0.0
20161121,21.55,63.88,1.41,64.75,0.69,0.55,30.47,0.0
20161122,21.09,63.19,1.48,176.19,0.69,0.54,27.85,0.0
20161123,20.83,64.06,1.43,74.31,0.7,0.54,28.99,0.0
20161124,20.78,63.81,1.38,28.12,0.68,0.53,27.05,0.0
20161125,20.42,65.38,1.58,29.06,0.7,0.53,26.93,0.0
20161126,20.43,63.25,1.73,181.81,0.7,0.53,26.37,0.0
20161127,20.51,61.75,2.35,174.25,0.72,0.52,27.33,0.0
20161128,21.09,61.94,2.04,145.81,0.7,0.52,26.14,0.0
20161129,21.6,62.19,1.43,18.0,0.67,0.52,26.03,0.0
20161130,21.76,65.5,1.25,49.44,0.55,0.52,23.07,0.49
20161201,21.3,68.44,1.57,22.44,0.59,0.52,18.76,0.0
20161202,23.12,72.12,1.48,40.5,0.46,0.51,22.65,0.0
20161203,24.46,75.88,1.7,68.62,0.57,0.51,21.14,0.0
20161204,24.42,75.25,1.64,39.31,0.54,0.51,23.83,0.0
20161205,23.44,71.88,1.4,28.25,0.58,0.5,23.37,0.0
20161206,21.55,68.38,1.24,48.0,0.6,0.5,19.88,0.0
20161207,21.34,66.06,1.09,21.62,0.67,0.49,21.27,0.0
20161208,20.22,61.12,2.01,293.25,0.66,0.48,21.01,0.0
20161209,19.51,58.69,2.03,191.69,0.61,0.48,19.83,0.0
20161210,19.55,65.5,2.38,210.06,0.59,0.48,17.45,0.0
20161211,20.87,62.5,2.48,137.19,0.56,0.48,18.9,0.03
20161212,22.88,62.5,2.7,103.44,0.49,0.47,19.87,3.75
20161213,23.62,72.25,2.13,74.38,0.48,0.48,18.96,0.14
20161214,24.31,73.62,1.9,61.31,0.34,0.48,18.98,0.0
20161215,24.19,69.81,1.22,65.06,0.56,0.47,16.78,0.0
20161216,23.3,66.94,1.32,45.5,0.6,0.46,17.22,0.0
20161217,21.55,54.94,1.7,64.5,0.66,0.45,18.17,0.0
20161218,20.5,51.69,1.85,19.94,0.68,0.45,16.99,0.0
20161219,20.41,52.88,1.56,21.38,0.67,0.45,15.88,0.0
20161220,20.27,48.31,1.49,43.31,0.68,0.45,16.07,0.0
20161221,20.01,47.31,1.9,249.12,0.69,0.44,16.37,0.0
20161222,19.87,46.31,1.96,139.06,0.71,0.43,16.22,0.0
20161223,19.36,46.56,1.94,153.56,0.7,0.43,15.31,0.0
20161224,20.52,42.75,1.34,50.69,0.66,0.42,14.34,0.0
20161225,21.61,64.69,1.13,121.12,0.62,0.42,11.11,0.0
20161226,21.65,55.38,1.61,105.25,0.66,0.42,13.85,0.0
20161227,20.7,48.31,1.84,14.75,0.66,0.41,13.4,0.0
20161228,21.1,53.69,1.27,60.56,0.6,0.41,10.79,0.0
20161229,22.33,52.56,0.82,51.81,0.6,0.41,11.17,0.0
20161230,23.15,61.75,0.96,105.88,0.58,0.41,9.91,0.0
20161231,22.85,65.81,1.24,124.81,0.55,0.4,9.56,0.0
20170101,22.69,60.94,1.03,145.81,0.59,0.39,10.1,0.0
20170102,22.67,62.75,1.07,105.0,0.6,0.39,9.45,0.0
20170103,21.98,57.69,1.59,241.69,0.57,0.38,9.85,0.0
20170104,21.07,49.12,1.64,155.75,0.59,0.38,9.57,0.0
20170105,21.22,47.69,1.59,118.0,0.62,0.37,9.34,0.0
20170106,21.9,53.25,1.25,70.69,0.63,0.36,8.3,0.0
20170107,22.59,60.81,1.47,152.25,0.62,0.35,7.28,0.0
20170108,22.83,61.75,1.8,129.44,0.62,0.35,7.45,0.0
20170109,23.24,58.62,1.86,156.19,0.63,0.34,6.71,0.0
20170110,22.87,60.0,1.45,154.56,0.59,0.34,6.81,0.0
20170111,21.72,45.94,1.87,95.25,0.58,0.34,7.69,0.0
20170112,20.49,43.19,1.52,50.94,0.61,0.33,7.17,0.0
20170113,20.83,40.81,1.29,50.62,0.61,0.32,6.99,0.0
20170114,21.4,48.94,1.28,69.56,0.62,0.32,5.85,0.0
20170115,22.54,52.88,1.27,54.94,0.66,0.31,5.92,0.0
20170116,22.5,42.94,1.12,37.5,0.65,0.3,6.37,0.0
20170117,22.44,46.19,1.11,87.94,0.65,0.3,5.91,0.0
20170118,22.26,57.44,1.66,123.12,0.64,0.3,5.41,0.0
20170119,22.96,59.06,1.23,104.44,0.63,0.3,4.97,0.0
20170120,23.37,46.25,1.19,119.25,0.67,0.29,5.78,0.0
20170121,24.07,39.19,1.3,90.75,0.66,0.28,6.37,0.0
20170122,25.13,48.19,1.48,136.19,0.62,0.28,5.43,0.0
20170123,25.12,50.31,1.52,119.38,0.6,0.27,5.16,0.0
20170124,23.98,50.56,1.5,92.75,0.64,0.27,5.06,0.0
20170125,23.82,52.62,1.3,106.12,0.64,0.27,4.5,0.0
20170126,24.48,54.5,1.5,145.25,0.41,0.26,3.83,0.0
20170127,24.87,54.62,1.13,131.88,0.47,0.26,3.16,0.0
20170128,25.58,46.88,1.84,105.88,0.59,0.25,4.05,0.0
20170129,23.87,38.06,1.64,19.06,0.62,0.25,3.98,0.0
20170130,24.65,33.12,1.4,61.0,0.66,0.24,3.91,0.0
20170131,25.31,51.31,1.16,115.06,0.61,0.23,3.08,0.0
20170201,25.14,52.94,1.43,143.38,0.66,0.23,2.54,0.0
20170202,25.1,58.62,1.55,126.56,0.55,0.23,2.17,0.0
20170203,25.33,54.44,1.1,106.19,0.65,0.22,2.27,0.0
20170204,25.51,42.5,1.2,95.81,0.68,0.22,2.51,0.0
20170205,25.25,53.94,1.45,177.12,0.63,0.21,1.77,0.0
20170206,25.51,45.44,1.03,116.44,0.68,0.2,2.28,0.0
20170207,25.73,30.44,1.11,65.62,0.69,0.2,2.37,0.0
20170208,26.3,29.0,1.21,56.69,0.68,0.2,1.94,0.0
20170209,26.05,43.31,1.05,135.75,0.66,0.19,1.6,0.0
20170210,25.35,50.75,1.57,160.12,0.66,0.19,1.24,0.0
